timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676494299142,204,Tutorial-1,200,OK,Thread Group 1-30,text,true,,31613,127,45,45,https://svelte.dev/tutorial/basics,200,0,0
1676494299136,214,Examples,200,OK,Thread Group 1-5,text,true,,41818,115,45,45,https://svelte.dev/faq,214,0,0
1676494297470,1906,Docs,200,OK,Thread Group 1-4,text,true,,1205283,116,45,45,https://svelte.dev/docs,51,0,0
1676494298798,580,HomePage,200,OK,Thread Group 1-36,text,true,,29529,112,45,45,https://svelte.dev/,578,0,361
1676494298931,465,Tutorial,200,OK,Thread Group 1-28,text,true,,31956,247,45,45,https://svelte.dev/tutorial/basics,246,0,0
1676494298931,246,Tutorial-0,301,Moved Permanently,Thread Group 1-28,,true,,343,120,45,45,https://svelte.dev/tutorial,246,0,0
1676494299177,219,Tutorial-1,200,OK,Thread Group 1-28,text,true,,31613,127,45,45,https://svelte.dev/tutorial/basics,206,0,0
1676494298859,566,HomePage,200,OK,Thread Group 1-37,text,true,,29529,112,46,46,https://svelte.dev/,566,0,367
1676494297494,1987,Docs,200,OK,Thread Group 1-2,text,true,,1205283,116,47,47,https://svelte.dev/docs,101,0,0
1676494297501,1985,Docs,200,OK,Thread Group 1-9,text,true,,1205283,116,47,47,https://svelte.dev/docs,47,0,0
1676494299029,495,Tutorial,200,OK,Thread Group 1-31,text,true,,31956,247,48,48,https://svelte.dev/tutorial/basics,269,0,0
1676494299029,269,Tutorial-0,301,Moved Permanently,Thread Group 1-31,,true,,343,120,48,48,https://svelte.dev/tutorial,269,0,0
1676494299298,226,Tutorial-1,200,OK,Thread Group 1-31,text,true,,31613,127,48,48,https://svelte.dev/tutorial/basics,226,0,0
1676494298917,635,HomePage,200,OK,Thread Group 1-38,text,true,,29529,112,48,48,https://svelte.dev/,631,0,407
1676494297552,2031,Docs,200,OK,Thread Group 1-11,text,true,,1205283,116,49,49,https://svelte.dev/docs,53,0,0
1676494298977,620,HomePage,200,OK,Thread Group 1-39,text,true,,29529,112,49,49,https://svelte.dev/,619,0,395
